"GroundNo","GroundNo2","Fishing Ground","Area","Location"
0,1,"Not Known","HIMI","New Ground"
1,2,"Colgate Valley","MAC","Colgate Valley"
2,3,"Aurora Trough","MAC","Aurora Trough"
3,4,"Grand Canyon","MAC","Grand Canyon"
4,5,"Grand Canyon Flat","MAC","Grand Canyon"
5,6,"Golden Track","MAC","Aurora Trough"
6,7,"Caroline Trough N","MAC","Caroline Trough"
8,8,"Off Handspike Pt","MAC","Aurora Trough"
9,9,"Red Line","MAC","Aurora Trough"
10,10,"Judge & Clerk","MAC","New Ground"
12,12,"Yellow Line","MAC","Aurora Trough"
13,13,"No Name","MAC","New Ground"
14,14,"Aurora Trough N","MAC","Aurora Trough"
15,15,"Beer Garden","MAC","Beer Garden"
16,16,"Colgate Valley N","MAC","Colgate Valley"
17,17,"Colgate Valley S","MAC","Colgate Valley"
18,18,"Colgate Valley SE","MAC","Colgate Valley"
19,19,"Grand Canyon N","MAC","Grand Canyon"
20,20,"Judge and Clerk SW","MAC","New Ground"
22,22,"Caroline Trough","MAC","Caroline Trough"
23,23,"New Ground","MAC","New Ground"
25,25,"Bordeaux","HIMI","Bordeaux"
26,26,"Evitas Patch","HIMI","Evitas Patch"
29,29,"Coral Bank","HIMI","Coral Bank"
30,30,"Gunnari Ridge","HIMI","Gunnari Ridge"
33,33,"Aurora Bank","HIMI","Aurora Bank"
34,34,"Kailis Corner","HIMI","Kailis Corner"
35,35,"Bishop and Clerk","MAC","New Ground"
36,36,"Hasselborough Ridge","MAC","New Ground"
37,37,"Hasselborough Basin","MAC","New Ground"
38,38,"Pike Bank","HIMI","Pike Bank"
39,39,"Rock Garden","HIMI","Rock Garden"
62,42,"South Tasman Rise","SEF","Outside zone"
43,43,"Williams Ridge","HIMI","Williams Ridge"
45,45,"Banzare Bank","HIMI","Banzare Bank"
46,46,"Shell Bank","HIMI","Shell Bank"
47,47,"Elan Bank","HIMI","Elan Bank"
48,48,"Discovery Bank","HIMI","Discovery Bank"
49,49,"Heavens Gate","HIMI","Heavens Gate"
50,50,"Peturssons Gully","HIMI","Peturssons Gully"
51,51,"Plateau Deep (>500m)","HIMI","Plateau Deep"
52,52,"Plateau Shallow (<500m)","HIMI","Plateau Shallow"
53,53,"Plateau NE Slope","HIMI","Plateau NE Slope"
63,957144513,"New Ground","HIMI","New Ground"
92,963875919,"New Ground","SEF","New Ground"
93,967693316,"New Ground","Indian","New Ground"
94,-79271470,"Not Known","SEF","Not Known"
95,1223902699,"Not Known","Indian","Not Known"
96,981584692,"New Ground","Cocos/Christmas","New Ground"
97,-1369346011,"Not Known","Cocos/Christmas","Not Known"
90,1551458710,"Not Known","Mac","Not Known"
98,987471206,"Not Known","Antarctica","Not Known"
99,-2088481041,"New Ground","Antarctica","New Ground"
